ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.6458333333333334,0.058125,D,2023-06-30
CTRA,,,,,,,,0.5694444444444444,0.05125,D,2023-06-30
MTDR,,,,,,,,0.6041666666666667,0.05437500000000001,D,2023-06-30
PR,,,,,,,,0.24305555555555558,0.021875,D,2023-06-30
OVV,,,,,,,,0.1111111111111111,0.01,D,2023-06-30
APA,,,,,,,,0.5555555555555556,0.05,D,2023-06-30
EOG,,,,,,,,0.6388888888888888,0.0575,D,2023-06-30
CRGY,,,,,,,,0.5972222222222222,0.05375,D,2023-06-30
SM,,,,,,,,0.0625,0.005625,D,2023-06-30
VTLE,,,,,,,,,,,2023-06-30
CIVI,,,,,,,,,,,2023-06-30
PXD,,,,,,,,,,,2023-06-30
CPE,,,,,,,,,,,2023-06-30
