ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.7013888888888888,0.063125,D,2023-12-31
CTRA,,,,,,,,0.5694444444444444,0.05125,D,2023-12-31
MTDR,,,,,,,,0.4930555555555556,0.044375,D,2023-12-31
PR,,,,,,,,0.3541666666666667,0.031875,D,2023-12-31
OVV,,,,,,,,0.2222222222222222,0.02,D,2023-12-31
APA,,,,,,,,0.5555555555555556,0.05,D,2023-12-31
EOG,,,,,,,,0.5833333333333334,0.0525,D,2023-12-31
CRGY,,,,,,,,0.375,0.03375,D,2023-12-31
SM,,,,,,,,0.1736111111111111,0.015625,D,2023-12-31
VTLE,,,,,,,,,,,2023-12-31
CIVI,,,,,,,,,,,2023-12-31
PXD,,,,,,,,,,,2023-12-31
CPE,,,,,,,,,,,2023-12-31
