ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.7569444444444444,0.068125,D,2022-12-31
CTRA,,,,,,,,0.45833333333333337,0.04125,D,2022-12-31
MTDR,,,,,,,,0.6041666666666667,0.05437500000000001,D,2022-12-31
PR,,,,,,,,0.25,0.0225,D,2022-12-31
OVV,,,,,,,,0.05555555555555558,0.005000000000000002,D,2022-12-31
APA,,,,,,,,0.5555555555555556,0.05,D,2022-12-31
EOG,,,,,,,,0.5763888888888888,0.051875,D,2022-12-31
CRGY,,,,,,,,0.5972222222222222,0.05375,D,2022-12-31
SM,,,,,,,,0.1736111111111111,0.015625,D,2022-12-31
CIVI,,,,,,,,,,,2022-12-31
PXD,,,,,,,,,,,2022-12-31
CPE,,,,,,,,,,,2022-12-31
LPI,,,,,,,,,,,2022-12-31
