ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.45,0.0405,D,2021-03-31
MTDR,,,,,,,,0.48333333333333334,0.0435,D,2021-03-31
OVV,,,,,,,,0.33333333333333337,0.030000000000000006,D,2021-03-31
APA,,,,,,,,0.33333333333333337,0.030000000000000006,D,2021-03-31
EOG,,,,,,,,0.5166666666666666,0.04649999999999999,D,2021-03-31
SM,,,,,,,,0.3,0.026999999999999996,D,2021-03-31
PXD,,,,,,,,,,,2021-03-31
CPE,,,,,,,,,,,2021-03-31
LPI,,,,,,,,,,,2021-03-31
