ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.7013888888888888,0.063125,D,2023-03-31
CTRA,,,,,,,,0.45833333333333337,0.04125,D,2023-03-31
MTDR,,,,,,,,0.4930555555555556,0.044375,D,2023-03-31
PR,,,,,,,,0.1875,0.016875,D,2023-03-31
OVV,,,,,,,,0.1111111111111111,0.01,D,2023-03-31
APA,,,,,,,,0.5555555555555556,0.05,D,2023-03-31
EOG,,,,,,,,0.6944444444444444,0.0625,D,2023-03-31
CRGY,,,,,,,,0.5972222222222222,0.05375,D,2023-03-31
SM,,,,,,,,0.22916666666666669,0.020625,D,2023-03-31
VTLE,,,,,,,,,,,2023-03-31
CIVI,,,,,,,,,,,2023-03-31
PXD,,,,,,,,,,,2023-03-31
CPE,,,,,,,,,,,2023-03-31
