ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.4236111111111111,0.038125,D,2024-03-31
CTRA,,,,,,,,0.5694444444444444,0.05125,D,2024-03-31
MTDR,,,,,,,,0.6597222222222222,0.059375,D,2024-03-31
PR,,,,,,,,0.4652777777777778,0.041875,D,2024-03-31
OVV,,,,,,,,0.33333333333333337,0.030000000000000006,D,2024-03-31
APA,,,,,,,,0.11111111111111116,0.010000000000000004,D,2024-03-31
EOG,,,,,,,,0.6388888888888888,0.0575,D,2024-03-31
CRGY,,,,,,,,0.375,0.03375,D,2024-03-31
SM,,,,,,,,0.22916666666666669,0.020625,D,2024-03-31
VTLE,,,,,,,,,,,2024-03-31
CIVI,,,,,,,,,,,2024-03-31
PXD,,,,,,,,,,,2024-03-31
CPE,,,,,,,,,,,2024-03-31
