ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.7013888888888888,0.063125,D,2024-06-30
CTRA,,,,,,,,0.45833333333333337,0.04125,D,2024-06-30
MTDR,,,,,,,,0.5486111111111112,0.049375,D,2024-06-30
PR,,,,,,,,0.4097222222222222,0.036875,D,2024-06-30
OVV,,,,,,,,0.2777777777777778,0.025,D,2024-06-30
APA,,,,,,,,0.33333333333333337,0.030000000000000006,D,2024-06-30
EOG,,,,,,,,0.6944444444444444,0.0625,D,2024-06-30
CRGY,,,,,,,,0.375,0.03375,D,2024-06-30
SM,,,,,,,,0.11805555555555558,0.010625000000000002,D,2024-06-30
VTLE,,,,,,,,,,,2024-06-30
CIVI,,,,,,,,,,,2024-06-30
