ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.6458333333333334,0.058125,D,2024-09-30
CTRA,,,,,,,,0.5694444444444444,0.05125,D,2024-09-30
MTDR,,,,,,,,0.6041666666666667,0.05437500000000001,D,2024-09-30
PR,,,,,,,,0.4097222222222222,0.036875,D,2024-09-30
OVV,,,,,,,,0.2777777777777778,0.025,D,2024-09-30
APA,,,,,,,,0.11111111111111116,0.010000000000000004,D,2024-09-30
EOG,,,,,,,,0.6388888888888888,0.0575,D,2024-09-30
CRGY,,,,,,,,0.4861111111111111,0.04375,D,2024-09-30
SM,,,,,,,,0.0625,0.005625,D,2024-09-30
VTLE,,,,,,,,,,,2024-09-30
CIVI,,,,,,,,,,,2024-09-30
