ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.5982142857142857,0.053839285714285715,D,2022-06-30
CTRA,,,,,,,,0.5803571428571428,0.052232142857142845,D,2022-06-30
MTDR,,,,,,,,0.6160714285714286,0.05544642857142858,D,2022-06-30
OVV,,,,,,,,0.0625,0.005625,D,2022-06-30
APA,,,,,,,,0.25,0.0225,D,2022-06-30
EOG,,,,,,,,0.5892857142857143,0.05303571428571429,D,2022-06-30
CRGY,,,,,,,,0.6071428571428572,0.05464285714285715,D,2022-06-30
SM,,,,,,,,0.07142857142857145,0.00642857142857143,D,2022-06-30
CIVI,,,,,,,,,,,2022-06-30
PXD,,,,,,,,,,,2022-06-30
CPE,,,,,,,,,,,2022-06-30
LPI,,,,,,,,,,,2022-06-30
