ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.4,0.036000000000000004,D,2020-12-31
MTDR,,,,,,,,0.5,0.045,D,2020-12-31
OVV,,,,,,,,0.3,0.026999999999999996,D,2020-12-31
EOG,,,,,,,,0.5,0.045,D,2020-12-31
SM,,,,,,,,0.3,0.026999999999999996,D,2020-12-31
PXD,,,,,,,,,,,2020-12-31
CPE,,,,,,,,,,,2020-12-31
LPI,,,,,,,,,,,2020-12-31
CXO,,,,,,,,,,,2020-12-31
