ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.5357142857142857,0.04821428571428571,D,2021-12-31
CTRA,,,,,,,,0.5119047619047619,0.04607142857142857,D,2021-12-31
MTDR,,,,,,,,0.48809523809523814,0.043928571428571435,D,2021-12-31
OVV,,,,,,,,0.14285714285714285,0.012857142857142855,D,2021-12-31
APA,,,,,,,,0.4285714285714286,0.038571428571428576,D,2021-12-31
EOG,,,,,,,,0.5238095238095238,0.047142857142857146,D,2021-12-31
CRGY,,,,,,,,,,,2021-12-31
SM,,,,,,,,0.33333333333333337,0.030000000000000006,D,2021-12-31
CIVI,,,,,,,,,,,2021-12-31
PXD,,,,,,,,,,,2021-12-31
CPE,,,,,,,,,,,2021-12-31
LPI,,,,,,,,,,,2021-12-31
