ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.5333333333333334,0.04800000000000001,D,2021-06-30
MTDR,,,,,,,,0.48333333333333334,0.0435,D,2021-06-30
OVV,,,,,,,,0.25,0.0225,D,2021-06-30
APA,,,,,,,,0.33333333333333337,0.030000000000000006,D,2021-06-30
EOG,,,,,,,,0.5166666666666666,0.04649999999999999,D,2021-06-30
SM,,,,,,,,0.3,0.026999999999999996,D,2021-06-30
PXD,,,,,,,,,,,2021-06-30
CPE,,,,,,,,,,,2021-06-30
LPI,,,,,,,,,,,2021-06-30
