ticker,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,tier,quarter
FANG,,,,,,,,0.625,0.05625,D,2022-03-31
CTRA,,,,,,,,0.32142857142857145,0.028928571428571432,D,2022-03-31
MTDR,,,,,,,,0.5535714285714286,0.04982142857142858,D,2022-03-31
OVV,,,,,,,,0.1875,0.016875,D,2022-03-31
APA,,,,,,,,0.625,0.05625,D,2022-03-31
EOG,,,,,,,,0.5803571428571428,0.052232142857142845,D,2022-03-31
CRGY,,,,,,,,0.41964285714285715,0.037767857142857145,D,2022-03-31
SM,,,,,,,,0.25,0.0225,D,2022-03-31
CIVI,,,,,,,,,,,2022-03-31
PXD,,,,,,,,,,,2022-03-31
CPE,,,,,,,,,,,2022-03-31
LPI,,,,,,,,,,,2022-03-31
