rebalance_date,ticker,eligible_flag,inclusion_reason,exclusion_reason,listing_status,market_cap,adv_30d,filing_available_flag,latest_filing_used,latest_filing_date,latest_filing_accepted_datetime,sector,basin,delisting_return_applied
2014-03-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-03-31,CXO,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-06-30,CXO,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,CPE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-09-30,CXO,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,FANG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,MTDR,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,EOG,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,SM,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,VTLE,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
2014-12-31,PXD,True,Listed Permian E&P within universe window,,Active,,,True,,,,Energy,Permian,0.0
