ticker,quarter,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,rank,tier
EOG,2014-06-30,0.3472222222222222,0.5,0.6732142857142857,0.3541666666666667,0.53125,0.4,0.4875,0.65625,0.4858125,5.0,C
PXD,2014-06-30,0.3020833333333333,0.6071428571428571,0.19642857142857142,0.625,0.7,0.4375,0.375,0.5625,0.46382142857142855,6.0,C
FANG,2014-06-30,0.3854166666666667,0.125,0.5382653061224489,0.4583333333333333,0.6458333333333334,0.69375,0.6125,0.40625,0.46316964285714285,7.0,C
VTLE,2014-06-30,0.2361111111111111,0.30357142857142855,0.5255102040816327,0.75,0.275,0.6875,0.375,0.5625,0.4414821428571429,8.0,C
CPE,2014-09-30,0.5173611111111112,0.8035714285714286,0.8099489795918368,0.7708333333333334,0.46875,0.58125,0.875,0.5625,0.6720535714285714,1.0,B
MTDR,2014-09-30,0.7430555555555556,0.8571428571428571,0.65,0.625,0.5833333333333334,0.825,0.3625,0.28125,0.6423839285714286,2.0,B
SM,2014-09-30,0.5729166666666666,0.8392857142857143,0.27321428571428574,0.5,0.5104166666666666,0.73125,0.775,0.53125,0.5869553571428571,3.0,B
PXD,2014-09-30,0.5173611111111112,0.6071428571428571,0.30357142857142855,0.7708333333333334,0.65625,0.39375,0.375,0.5625,0.5254464285714285,4.0,C
EOG,2014-09-30,0.16319444444444445,0.5,0.7107142857142856,0.3333333333333333,0.65625,0.34375,0.3875,0.65625,0.4548125,5.0,C
FANG,2014-09-30,0.4826388888888889,0.2159090909090909,0.4451530612244898,0.7083333333333334,0.6145833333333334,0.25625,0.4625,0.40625,0.4487702922077922,6.0,C
VTLE,2014-09-30,0.3229166666666667,0.16071428571428573,0.47193877551020413,0.4166666666666667,0.4,0.88125,0.375,0.5625,0.42255357142857153,7.0,C
CXO,2014-09-30,0.3472222222222222,0.25,0.18571428571428572,0.375,0.6375,0.4875,0.75,0.5625,0.421875,8.0,C
MTDR,2014-12-31,0.6423611111111112,0.8571428571428571,0.6553571428571429,0.5416666666666666,0.4583333333333333,0.8,0.3875,0.41203703703703703,0.6117797619047619,1.0,B
EOG,2014-12-31,0.4340277777777778,0.5,0.6303571428571428,0.5833333333333334,0.7916666666666666,0.5375,0.7125,0.6157407407407408,0.5867916666666667,2.0,B
CPE,2014-12-31,0.4479166666666667,0.8035714285714286,0.6492346938775511,0.5833333333333334,0.45,0.36875,0.75,0.5625,0.5785535714285714,3.0,B
CXO,2014-12-31,0.5868055555555556,0.25,0.4482142857142858,0.5416666666666666,0.5625,0.675,0.875,0.5625,0.544,4.0,C
VTLE,2014-12-31,0.3229166666666667,0.16071428571428573,0.5255102040816327,0.9166666666666666,0.45,0.64375,0.375,0.5625,0.47230357142857143,5.0,C
FANG,2014-12-31,0.5173611111111112,0.2159090909090909,0.5790816326530612,0.5416666666666666,0.7083333333333334,0.2,0.4125,0.5178571428571429,0.4644399350649351,6.0,C
